Part,Description,List Price,Customer Price,Core Price,Env Charge,Compressed Part
054 103 383 G,Gasket - Head,110.8,50.94,0,0,054103383G
058 103 383 K,Gasket - Head,54.16,30.5,0,0,058103383K
06A 103 383 L,Gasket - Head,58.37,32.87,0,0,06A103383L
06C 103 383 H,Gasket - Head,107.26,59.85,0,0,06C103383H
068 103 383 CP,Gasket - Head,59.07,26.91,0,0,068103383CP
068 103 383 CR,Gasket - Head,62.41,34.83,0,0,068103383CR
068 103 383 N,Gasket - Head,34.01,19.15,0,0,068103383N
06F 103 383 G,Gasket - Head,74.96,42.2,0,0,06F103383G
06H 103 383 AA,Gasket - Head,75.99,42.77,0,0,06H103383AA
244 890,Gasket - Head Set,297.86,166.2,0,0,244890
074 103 383 M,Gasket - Head,99.46,55.5,0,0,074103383M
074 103 383 P,Gasket - Head,70.15,31.86,0,0,074103383P
077 103 383 BN,Gasket - Head,138.45,63.6,0,0,077103383BN
077 103 383 BP,Gasket - Head,134.37,61.73,0,0,077103383BP
077 103 383 BQ,Gasket - Head,93.21,47.99,0,0,077103383BQ
077 103 383 BR,Gasket - Head,105.35,54.27,0,0,077103383BR
078 103 383 K,Gasket - Head,72.73,33.41,0,0,078103383K
078 103 383 L,Gasket - Head,48.9,27.52,0,0,078103383L
079 103 383 S,Gasket - Head,90.2,50.75,0,0,079103383S
079 103 383 T,Gasket - Head,88.56,49.84,0,0,079103383T
07K 103 383 F,Gasket - Head,93.96,52.43,0,0,07K103383F
021 103 384 G,Cylinder Head Bolt,3.96,1.82,0,0,021103384G
06A 103 384 C,Cylinder Head Bolt,5.98,3.26,0,0,06A103384C
068 103 384 A,Cylinder Head Bolt,5.06,2.33,0,0,068103384A
027 103 385 C,Cylinder Head Bolt,5.89,3.31,0,0,027103385C
034 103 385 C,Cylinder Head Bolt,6,2.78,0,0,034103385C
049 103 385 A,Cylinder Head Bolt,2.56,1.18,0,0,049103385A
058 103 385 B,Cylinder Head Bolt,2.67,1.22,0,0,058103385B
06A 103 385 A,Cylinder Head Bolt,3.84,2.16,0,0,06A103385A
06B 103 385,Cylinder Head Bolt,3.47,1.96,0,0,06B103385
077 103 385,Cylinder Head Bolt,3.48,1.6,0,0,077103385
078 103 385 F,Cylinder Head Bolt,5.1,2.33,0,0,078103385F
